trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
65,False,"{'a': 0.4162724181202452, 'e': 0.47999999999999954}",20,0,-51.34857308930697,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.41210969393904273, 'e': 0.47199999999999953}",25,0,-22.61497554037767,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
67,False,"{'a': 0.4079885969996523, 'e': 0.4639999999999995}",30,0,-155.59104736169516,"{0: 11, 1: 10, 2: 8, 3: 0, 4: 1}",0
68,False,"{'a': 0.40390871102965575, 'e': 0.4559999999999995}",30,0,-202.4765727503189,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 4}",0
69,False,"{'a': 0.3998696239193592, 'e': 0.4479999999999995}",20,0,-128.19912493402714,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",1
70,False,"{'a': 0.39587092768016563, 'e': 0.4399999999999995}",30,0,-259.7205231584887,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
71,False,"{'a': 0.391912218403364, 'e': 0.4319999999999995}",25,0,-187.39783024172334,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
72,False,"{'a': 0.38799309621933037, 'e': 0.4239999999999995}",25,0,-115.26982681828413,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
73,False,"{'a': 0.38411316525713707, 'e': 0.4159999999999995}",25,0,-130.9007357171752,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
74,False,"{'a': 0.3802720336045657, 'e': 0.4079999999999995}",30,0,-142.7601200082356,"{0: 16, 1: 9, 2: 3, 3: 0, 4: 2}",0
75,False,"{'a': 0.37646931326852, 'e': 0.39999999999999947}",20,0,-72.2197304231396,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
76,False,"{'a': 0.37270462013583483, 'e': 0.39199999999999946}",30,0,-212.76425777118655,"{0: 15, 1: 3, 2: 9, 3: 0, 4: 3}",0
77,False,"{'a': 0.3689775739344765, 'e': 0.38399999999999945}",20,0,-82.35636321362358,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.36528779819513174, 'e': 0.37599999999999945}",20,0,-42.68001874823561,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
79,False,"{'a': 0.36163492021318044, 'e': 0.36799999999999944}",20,0,-75.16375921190198,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
80,False,"{'a': 0.3580185710110486, 'e': 0.35999999999999943}",30,0,-142.8599390861548,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
81,False,"{'a': 0.35443838530093813, 'e': 0.3519999999999994}",20,0,-107.08569130479577,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
82,False,"{'a': 0.35089400144792876, 'e': 0.3439999999999994}",20,0,-203.16968079527095,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
83,False,"{'a': 0.3473850614334495, 'e': 0.3359999999999994}",25,0,-111.36680164493478,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
84,False,"{'a': 0.343911210819115, 'e': 0.3279999999999994}",25,0,-103.07023302799526,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
85,False,"{'a': 0.3404720987109239, 'e': 0.3199999999999994}",20,13,0.5310417421934519,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.3370673777238146, 'e': 0.3119999999999994}",20,0,-67.31776354128188,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.33369670394657647, 'e': 0.3039999999999994}",20,0,-45.73549130137659,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.3303597369071107, 'e': 0.2959999999999994}",20,0,-83.83052512277128,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.3270561395380396, 'e': 0.28799999999999937}",20,0,-67.70990726406814,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.3237855781426592, 'e': 0.27999999999999936}",20,0,-107.77653700756588,"{0: 8, 1: 6, 2: 5, 3: 0, 4: 1}",0
